iter	Passed	Remaining
0	147	147292
1	149	74397
2	150	50145
3	152	37922
4	154	30701
5	155	25798
6	157	22292
7	158	19688
8	160	17683
9	162	16063
10	164	14748
11	165	13661
12	167	12725
13	169	11911
14	170	11195
15	171	10567
16	173	10013
17	174	9528
18	176	9093
19	177	8696
20	178	8340
21	180	8016
22	181	7717
23	183	7445
24	184	7194
25	185	6966
26	187	6748
27	188	6557
28	190	6376
29	191	6205
30	193	6044
31	195	5901
32	196	5759
33	197	5622
34	199	5493
35	200	5373
36	202	5263
37	203	5159
38	205	5057
39	206	4958
40	207	4863
41	209	4775
42	210	4689
43	212	4608
44	213	4528
45	214	4456
46	216	4390
47	218	4327
48	219	4261
49	220	4198
50	222	4136
51	223	4077
52	225	4020
53	226	3967
54	227	3914
55	229	3865
56	230	3817
57	232	3773
58	233	3730
59	235	3684
60	236	3641
61	237	3600
62	239	3561
63	241	3525
64	242	3489
65	244	3455
66	245	3421
67	247	3388
68	248	3356
69	250	3323
70	251	3294
71	253	3264
72	254	3235
73	256	3207
74	257	3180
75	259	3155
76	261	3130
77	262	3104
78	264	3081
79	265	3057
80	267	3035
81	269	3013
82	270	2984
83	271	2962
84	273	2939
85	274	2922
86	276	2902
87	278	2882
88	279	2861
89	281	2841
90	282	2821
91	284	2803
92	285	2784
93	287	2766
94	288	2749
95	290	2731
96	291	2715
97	293	2698
98	294	2682
99	296	2666
100	298	2652
101	299	2639
102	301	2625
103	302	2610
104	304	2596
105	306	2582
106	307	2566
107	309	2552
108	310	2539
109	312	2529
110	314	2516
111	315	2503
112	317	2491
113	318	2477
114	320	2468
115	322	2456
116	323	2443
117	325	2433
118	327	2420
119	328	2408
120	329	2395
121	331	2382
122	332	2371
123	334	2360
124	335	2351
125	337	2341
126	338	2330
127	340	2319
128	342	2309
129	343	2300
130	345	2291
131	347	2282
132	348	2273
133	350	2267
134	352	2259
135	354	2249
136	355	2239
137	357	2230
138	358	2220
139	359	2210
140	361	2203
141	362	2192
142	364	2183
143	365	2175
144	367	2166
145	369	2159
146	370	2150
147	372	2142
148	373	2133
149	375	2126
150	377	2120
151	378	2112
152	380	2105
153	381	2097
154	383	2089
155	384	2082
156	386	2075
157	387	2067
158	389	2059
159	390	2052
160	392	2042
161	393	2036
162	395	2029
163	396	2022
164	398	2015
165	399	2009
166	401	2002
167	402	1994
168	404	1987
169	405	1980
170	407	1973
171	408	1968
172	410	1964
173	412	1958
174	414	1951
175	415	1944
176	416	1937
177	418	1931
178	419	1925
179	421	1919
180	422	1913
181	424	1907
182	426	1902
183	427	1896
184	429	1890
185	430	1884
186	432	1879
187	433	1873
188	435	1867
189	436	1862
190	438	1856
191	439	1850
192	441	1844
193	442	1838
194	443	1832
195	445	1828
196	447	1822
197	448	1817
198	450	1812
199	451	1806
200	452	1800
201	454	1794
202	455	1789
203	457	1783
204	458	1778
205	459	1772
206	461	1767
207	462	1761
208	464	1756
209	465	1751
210	467	1746
211	468	1740
212	470	1737
213	471	1733
214	473	1728
215	474	1723
216	476	1719
217	477	1713
218	479	1708
219	480	1703
220	481	1697
221	482	1692
222	484	1687
223	486	1683
224	487	1679
225	489	1674
226	490	1670
227	492	1666
228	493	1663
229	495	1659
230	497	1655
231	498	1651
232	500	1647
233	502	1643
234	503	1640
235	505	1635
236	506	1632
237	508	1628
238	510	1623
239	511	1620
240	513	1615
241	515	1613
242	516	1609
243	518	1605
244	519	1601
245	521	1597
246	522	1594
247	524	1591
248	526	1588
249	528	1584
250	529	1580
251	531	1578
252	533	1574
253	535	1571
254	536	1568
255	538	1564
256	539	1560
257	541	1556
258	542	1553
259	544	1551
260	547	1549
261	548	1545
262	550	1542
263	552	1539
264	554	1538
265	556	1534
266	557	1531
267	559	1528
268	561	1525
269	563	1522
270	564	1519
271	566	1516
272	568	1513
273	569	1509
274	570	1505
275	572	1501
276	573	1497
277	575	1494
278	576	1490
279	578	1487
280	579	1483
281	581	1480
282	583	1477
283	584	1473
284	586	1470
285	587	1466
286	589	1463
287	590	1459
288	592	1456
289	593	1453
290	595	1450
291	596	1446
292	597	1442
293	598	1438
294	600	1434
295	601	1430
296	602	1427
297	604	1424
298	605	1420
299	607	1416
300	608	1413
301	609	1409
302	611	1405
303	612	1402
304	613	1398
305	615	1395
306	616	1391
307	617	1388
308	619	1385
309	620	1381
310	622	1378
311	623	1374
312	624	1370
313	625	1367
314	627	1363
315	628	1360
316	629	1356
317	631	1353
318	632	1350
319	634	1347
320	635	1344
321	636	1341
322	638	1337
323	639	1334
324	640	1330
325	642	1327
326	643	1324
327	644	1320
328	645	1317
329	647	1314
330	649	1312
331	650	1309
332	652	1306
333	653	1303
334	654	1299
335	656	1296
336	657	1293
337	658	1289
338	659	1286
339	661	1283
340	662	1280
341	663	1277
342	665	1273
343	666	1270
344	667	1267
345	668	1264
346	670	1260
347	671	1257
348	672	1254
349	673	1251
350	675	1248
351	676	1245
352	677	1242
353	678	1239
354	680	1235
355	681	1232
356	682	1229
357	684	1226
358	685	1223
359	686	1220
360	688	1217
361	689	1215
362	690	1211
363	691	1208
364	693	1206
365	694	1203
366	696	1200
367	697	1197
